TP,RT,PT,PWHT,WELD,FITUP
4000-14-FW-26-263,32,6,63,43%,59%
4000-08-CWR-33-273,44,31,37,51%,59%
4000-08-CWR-50-290,46,3,27,76%,78%
4000-08-CWR-65-305,13,89,42,60%,53%
4000-08-CWR-75-315,11,35,27,41%,82%
4000-08-CWR-76-316,80,14,80,21%,52%
4000-08-CWR-81-323,14,22,56,95%,15%
4000-08-CWR-82-324,15,53,20,70%,68%
4000-08-CWS-62-353,95,68,25,41%,70%
4000-08-CWS-63-354,32,33,18,26%,2%
4000-08-CWS-64-355,8,89,22,89%,34%
4000-08-CWS-69-360,87,36,55,65%,32%
4000-08-CWS-70-361,20,14,99,40%,1%
2000-04-RFG-06-385,74,88,16,2%,12%
5000-02-PMC-20-393,34,19,16,62%,36%
4000-08-CWR-91-402,23,59,62,76%,64%
1000-03-BD-02-410,76,76,53,41%,77%
4000-02-VA-02-442,38,18,45,96%,19%
4000-02-VA-04-444,80,80,76,69%,49%
1000-03-VA-01-447,6,76,50,91%,59%
1000-03-PRC-11-466,84,14,27,63%,3%
1000-01-OW-02-492,33,65,60,33%,39%
4000-08-CWR-100-497,89,67,79,25%,11%
4000-08-CWR-101-498,75,12,84,80%,35%
4000-08-CWR-102-499,7,67,6,84%,96%
4000-08-CWR-103-500,67,15,98,24%,84%
4000-08-CWR-104-501,36,17,13,76%,39%
4000-08-CWR-105-502,61,5,87,3%,43%
4000-08-CWR-106-503,83,12,93,58%,42%
3000-01-VA-04-510,58,46,71,92%,38%
5000-01-CD-01-512,33,22,66,41%,91%
1000-03-BD-05-543,5,53,84,13%,68%
1000-03-MPC-02-544,53,80,54,9%,5%
3000-02-VA-01-557,84,4,37,48%,8%
4000-08-VA-01-564,81,77,4,59%,27%
1000-03-PRC-14-578,41,64,53,71%,24%
7000-01-FLG-06-593,7,62,74,84%,61%
2000-05-RFG-07-605,65,59,61,24%,56%
4000-02-HPS-05-610,93,74,18,14%,41%
1000-03-PRC-20-668,82,25,46,23%,37%
1000-03-VA-02-674,62,8,94,25%,98%
1000-02-VA-02-675,24,66,68,81%,94%
2000-04-VA-03-676,31,82,95,47%,98%
1000-02-VA-03-677,1,34,44,8%,1%
2000-01-VA-02-679,87,32,81,3%,44%
5000-01-PMC-13-690,62,35,40,0%,61%
4000-02-HPS-07-718,22,68,56,24%,4%
1000-01-OW-03-722,55,21,49,77%,52%
4000-03-MPS-03-723,12,96,59,64%,34%
3000-02-MPS-05-735,44,45,42,44%,82%
2000-03-WWO-03-741,66,14,54,37%,8%
4000-05-VA-03-747,41,73,5,40%,80%
3000-01-VA-12-751,57,67,18,56%,74%
4000-13-PMC-03-773,6,36,32,36%,61%
3000-03-PMC-06-778,85,58,24,64%,70%
4000-02-HPS-08-779,21,71,27,95%,60%
1000-03-BD-07-793,22,90,55,48%,74%
1000-03-BD-09-796,79,5,27,65%,23%
4000-04-BFW-07-803,25,86,53,83%,29%
4000-13-HG-02-814,81,23,15,3%,45%
3000-01-SG-05-816,42,34,55,28%,47%
1000-01-PRG-06-845,22,69,36,17%,8%
1000-03-PRG-04-846,16,35,65,85%,85%
2000-02-PRG-01-847,87,31,33,59%,39%
2000-05-PRC-21-852,66,69,62,50%,40%
3000-01-LPC-03-857,68,85,98,84%,80%
3000-01-LPC-04-858,74,42,47,10%,69%
3000-01-LPC-07-862,58,47,26,54%,79%
3000-01-TC-02-863,32,38,59,3%,69%
3000-01-TC-04-865,6,9,74,19%,61%
2000-04-BFW-07-869,78,73,81,14%,3%
4000-02-BFW-02-870,1,37,15,72%,58%
4000-02-BFW-03-871,48,5,14,29%,67%
1000-03-PRC-21-879,56,79,44,22%,28%
1000-03-PRC-22-880,88,63,62,76%,90%
2000-05-PRC-22-881,85,38,7,26%,84%
2000-05-PRC-23-883,74,36,70,59%,54%
2000-05-PRC-24-884,89,1,25,98%,18%
2000-05-PRC-25-885,13,57,54,54%,8%
4000-04-LO-05-906,68,93,23,17%,92%
2000-05-PRC-27-915,52,30,51,60%,14%
1000-03-MPC-08-932,36,30,30,42%,90%
7000-01-FLG-23-949,55,41,1,86%,59%
5000-01-LPC-09-955,40,12,13,98%,79%
3000-01-LPC-08-956,98,36,68,35%,28%
4000-01-N-12-981,16,1,63,64%,46%
4000-08-CWR-67-1023,10,89,53,60%,78%
